Symptoms,Outcome,Weight
 MALNUTRITION, HOSPITALIZATION,19
 LIVER INJURY,NON-SERIOUS INJURIES/ ILLNESS,19
 LIP DRY,NON-SERIOUS INJURIES/ ILLNESS,19
 JOINT SWELLING, VISITED AN ER,19
 ISCHAEMIC STROKE, HOSPITALIZATION,19
 IRRITABLE BOWEL SYNDROME,HOSPITALIZATION,19
 HYPOTRICHOSIS, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,19
 HYPOGLYCAEMIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 HYPERVITAMINOSIS, VISITED A HEALTH CARE PROVIDER,19
 HYPERKALAEMIA,HOSPITALIZATION,19
 HOT FLUSH, VISITED A HEALTH CARE PROVIDER,19
 HOT FLUSH,HOSPITALIZATION,19
 HEPATOCELLULAR DAMAGE,HOSPITALIZATION,19
 HEPATITIS,LIFE THREATENING,19
 HEPATIC PAIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 HEPATIC NECROSIS, LIFE THREATENING,19
 HEPATIC NECROSIS, HOSPITALIZATION,19
 HEPATIC FUNCTION ABNORMAL, LIFE THREATENING,19
 HEPATIC ENZYME INCREASED, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,19
 HEPATIC CIRRHOSIS, LIFE THREATENING,19
 HEART RATE IRREGULAR, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,19
 HEAD INJURY, VISITED AN ER,19
 HEAD DISCOMFORT, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 HALLUCINATION,NON-SERIOUS INJURIES/ ILLNESS,19
 HAEMOPTYSIS,VISITED AN ER,19
 HAEMOLYTIC ANAEMIA, HOSPITALIZATION,19
 HAEMOGLOBIN DECREASED, LIFE THREATENING,19
 HAEMATEMESIS, VISITED AN ER,19
 GLOMERULAR FILTRATION RATE DECREASED,VISITED A HEALTH CARE PROVIDER,19
 GASTRITIS, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,19
 GAIT DISTURBANCE, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,19
 FOAMING AT MOUTH, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 FEELING HOT, NON-SERIOUS INJURIES/ ILLNESS,19
 FAECES PALE,VISITED AN ER,19
 FAECES PALE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 FACE OEDEMA, HOSPITALIZATION,19
 EYE PRURITUS,VISITED A HEALTH CARE PROVIDER,19
 EYE IRRITATION, VISITED A HEALTH CARE PROVIDER,19
 EYE DISORDER, VISITED A HEALTH CARE PROVIDER,19
 DRY THROAT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 DRUG INTERACTION,VISITED AN ER,19
 DISORIENTATION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 DERMATITIS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 DEPRESSION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,19
 DEFORMITY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 DEFORMITY,VISITED A HEALTH CARE PROVIDER,19
 DECREASED APPETITE,DISABILITY,19
 DEAFNESS, VISITED A HEALTH CARE PROVIDER,19
 CYSTITIS, HOSPITALIZATION,19
 COLITIS ULCERATIVE, VISITED A HEALTH CARE PROVIDER,19
 COLITIS,VISITED AN ER,19
 COLD SWEAT,SERIOUS INJURIES/ ILLNESS,19
 CHOLECYSTECTOMY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 CHOLECYSTECTOMY,HOSPITALIZATION,19
 CHOKING, SERIOUS INJURIES/ ILLNESS,19
 CHEST DISCOMFORT,DISABILITY,19
 CAUSTIC INJURY, VISITED AN ER,19
 CARDIAC FAILURE, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,19
 CARDIAC FAILURE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 BRONCHITIS, VISITED A HEALTH CARE PROVIDER,19
 BREAST PAIN,VISITED A HEALTH CARE PROVIDER,19
 BREAST ENLARGEMENT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 BREAST CANCER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 BLOOD PRESSURE FLUCTUATION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,19
 BLOOD POTASSIUM DECREASED,VISITED A HEALTH CARE PROVIDER,19
 BLOOD MERCURY ABNORMAL,VISITED A HEALTH CARE PROVIDER,19
 BLOOD MAGNESIUM DECREASED, HOSPITALIZATION,19
 BLOOD IRON DECREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 BLOOD DISORDER,HOSPITALIZATION,19
 BLOOD CREATININE INCREASED,LIFE THREATENING,19
 BLINDNESS, VISITED A HEALTH CARE PROVIDER,19
 BIOPSY LIVER ABNORMAL, VISITED A HEALTH CARE PROVIDER,19
 BIOPSY LIVER,HOSPITALIZATION,19
 BILE DUCT STONE, HOSPITALIZATION,19
 BACK PAIN, LIFE THREATENING,19
 APPENDICECTOMY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 ANOREXIA,SERIOUS INJURIES/ ILLNESS,19
 AGITATION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,19
 ADVERSE DRUG REACTION,VISITED A HEALTH CARE PROVIDER,19
 ADNEXA UTERI MASS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 ABNORMAL FAECES,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),19
 ABNORMAL BEHAVIOUR,HOSPITALIZATION,19
 ABDOMINAL DISTENSION,SERIOUS INJURIES/ ILLNESS,19
VAGINAL HAEMORRHAGE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
TOOTHACHE,NON-SERIOUS INJURIES/ ILLNESS,18
THROAT TIGHTNESS, VISITED AN ER,18
THROAT TIGHTNESS, LIFE THREATENING,18
SWELLING FACE,HOSPITALIZATION,18
SKIN DISCOLOURATION,VISITED A HEALTH CARE PROVIDER,18
RENAL PAIN,HOSPITALIZATION,18
RASH PRURITIC, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
RASH ERYTHEMATOUS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
RASH, DISABILITY,18
RASH,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,18
PSYCHOTIC DISORDER,SERIOUS INJURIES/ ILLNESS,18
PROSTATE CANCER, SERIOUS INJURIES/ ILLNESS,18
PNEUMONIA, VISITED AN ER,18
PHARYNGEAL OEDEMA,HOSPITALIZATION,18
PARALYSIS, VISITED AN ER,18
PARAESTHESIA, HOSPITALIZATION,18
OVERDOSE,HOSPITALIZATION,18
OSTEOPOROSIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
NEPHROLITHIASIS, VISITED AN ER,18
MUSCULAR WEAKNESS,HOSPITALIZATION,18
MALAISE,SERIOUS INJURIES/ ILLNESS,18
LUNG NEOPLASM MALIGNANT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
LIVER FUNCTION TEST ABNORMAL, HOSPITALIZATION,18
LACERATION, VISITED AN ER,18
HYSTERECTOMY,HOSPITALIZATION,18
HEPATIC FUNCTION ABNORMAL, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
HAIR DISORDER,NON-SERIOUS INJURIES/ ILLNESS,18
HAEMORRHAGE,LIFE THREATENING,18
HAEMORRHAGE,VISITED AN ER,18
HAEMORRHAGE, VISITED AN ER,18
HAEMATOCHEZIA, NON-SERIOUS INJURIES/ ILLNESS,18
HAEMATEMESIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
GAIT DISTURBANCE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
FUNGAL INFECTION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
FREQUENT BOWEL MOVEMENTS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
FOOD POISONING,HOSPITALIZATION,18
EXTRASYSTOLES,VISITED A HEALTH CARE PROVIDER,18
DYSARTHRIA,DISABILITY,18
DRY MOUTH,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
DIVERTICULITIS,VISITED AN ER,18
CRYING,NON-SERIOUS INJURIES/ ILLNESS,18
COMPLETED SUICIDE,DEATH,18
CHROMATURIA,VISITED A HEALTH CARE PROVIDER,18
CARDIAC FAILURE CONGESTIVE, SERIOUS INJURIES/ ILLNESS,18
CARDIAC FAILURE CONGESTIVE, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,18
CARDIAC ARREST, VISITED AN ER,18
CARDIAC ARREST, HOSPITALIZATION,18
BREAST CANCER, SERIOUS INJURIES/ ILLNESS,18
BLOOD URINE PRESENT,HOSPITALIZATION,18
BLINDNESS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
ARTHRITIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
ALANINE AMINOTRANSFERASE INCREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
AGE-RELATED MACULAR DEGENERATION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
ADRENAL DISORDER, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
ADRENAL DISORDER,VISITED A HEALTH CARE PROVIDER,18
ABDOMINAL PAIN UPPER,SERIOUS INJURIES/ ILLNESS,18
 YELLOW SKIN, VISITED A HEALTH CARE PROVIDER,18
 YELLOW SKIN,VISITED AN ER,18
 YELLOW SKIN,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 WEIGHT FLUCTUATION,VISITED A HEALTH CARE PROVIDER,18
 VASCULAR INJURY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 URINE ANALYSIS ABNORMAL, HOSPITALIZATION,18
 UNRESPONSIVE TO STIMULI, HOSPITALIZATION,18
 ULTRASOUND SCAN ABNORMAL,VISITED A HEALTH CARE PROVIDER,18
 ULTRASOUND LIVER ABNORMAL, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 ULCER, LIFE THREATENING,18
 TRANSFUSION,HOSPITALIZATION,18
 TINNITUS, VISITED AN ER,18
 THIRST,LIFE THREATENING,18
 TENDERNESS, VISITED AN ER,18
 SYSTEMIC LUPUS ERYTHEMATOSUS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 SYNCOPE, SERIOUS INJURIES/ ILLNESS,18
 SWELLING FACE,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,18
 SURGERY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 STOOL ANALYSIS ABNORMAL, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 STAPHYLOCOCCAL INFECTION,HOSPITALIZATION,18
 SPEECH DISORDER,VISITED A HEALTH CARE PROVIDER,18
 SKIN LESION,DISABILITY,18
 SKIN BURNING SENSATION,DISABILITY,18
 SINUSITIS,VISITED AN ER,18
 SENSATION OF FOREIGN BODY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 RIGORS,VISITED A HEALTH CARE PROVIDER,18
 RESPIRATORY TRACT CONGESTION,VISITED A HEALTH CARE PROVIDER,18
 RESPIRATORY FAILURE, HOSPITALIZATION,18
 RESPIRATORY DISTRESS,NON-SERIOUS INJURIES/ ILLNESS,18
 RESPIRATORY DISORDER,VISITED A HEALTH CARE PROVIDER,18
 RENAL IMPAIRMENT, VISITED A HEALTH CARE PROVIDER,18
 RENAL IMPAIRMENT,VISITED AN ER,18
 RENAL FAILURE,LIFE THREATENING,18
 RENAL CYST, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 RENAL CYST,VISITED AN ER,18
 RENAL CYST,VISITED A HEALTH CARE PROVIDER,18
 RENAL CYST, HOSPITALIZATION,18
 RED BLOOD CELL COUNT DECREASED,HOSPITALIZATION,18
 RECTAL HAEMORRHAGE,VISITED AN ER,18
 RASH PRURITIC, HOSPITALIZATION,18
 RASH ERYTHEMATOUS, VISITED A HEALTH CARE PROVIDER,18
 PYELONEPHRITIS, HOSPITALIZATION,18
 PULMONARY MASS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 PULMONARY EMBOLISM, SERIOUS INJURIES/ ILLNESS,18
 PULMONARY EMBOLISM,VISITED AN ER,18
 PSYCHIATRIC SYMPTOM, HOSPITALIZATION,18
 PRURITUS GENERALISED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 PRURITUS GENERALISED,VISITED AN ER,18
 POST-TRAUMATIC STRESS DISORDER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 POLYP,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 PNEUMONIA, LIFE THREATENING,18
 PLATELET COUNT DECREASED, VISITED A HEALTH CARE PROVIDER,18
 PHYSICAL EXAMINATION,LIFE THREATENING,18
 PHYSICAL EXAMINATION, VISITED AN ER,18
 PHARYNGITIS, HOSPITALIZATION,18
 PHARYNGEAL OEDEMA,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,18
 PARANEOPLASTIC SYNDROME,VISITED A HEALTH CARE PROVIDER,18
 PARANEOPLASTIC SYNDROME, HOSPITALIZATION,18
 PARAESTHESIA,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,18
 PANIC ATTACK, HOSPITALIZATION,18
 PANCREATITIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 PALLOR,VISITED A HEALTH CARE PROVIDER,18
 PAIN OF SKIN,NON-SERIOUS INJURIES/ ILLNESS,18
 OSTEOARTHRITIS,HOSPITALIZATION,18
 ORAL DISCOMFORT, VISITED AN ER,18
 OEDEMA,VISITED A HEALTH CARE PROVIDER,18
 OBESITY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 NON-CARDIAC CHEST PAIN, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 NON-CARDIAC CHEST PAIN,VISITED A HEALTH CARE PROVIDER,18
 NIGHTMARE,NON-SERIOUS INJURIES/ ILLNESS,18
 NASAL CONGESTION,NON-SERIOUS INJURIES/ ILLNESS,18
 MYOCARDIAL INFARCTION,DEATH,18
 MUSCULOSKELETAL PAIN,VISITED AN ER,18
 MUSCLE SPASMS,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,18
 MOOD ALTERED,VISITED AN ER,18
 MOOD ALTERED,HOSPITALIZATION,18
 MENTAL STATUS CHANGES,VISITED AN ER,18
 MENTAL STATUS CHANGES, LIFE THREATENING,18
 MENTAL IMPAIRMENT,VISITED AN ER,18
 MENSTRUAL DISORDER,VISITED A HEALTH CARE PROVIDER,18
 MASS, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 LOCALISED INFECTION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 LIVER FUNCTION TEST ABNORMAL, SERIOUS INJURIES/ ILLNESS,18
 LIVER DISORDER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 LIP SWELLING,LIFE THREATENING,18
 LARYNGOSPASM, LIFE THREATENING,18
 LACERATION,VISITED AN ER,18
 LABORATORY TEST ABNORMAL,HOSPITALIZATION,18
 KETOACIDOSIS, HOSPITALIZATION,18
 INTRAOCULAR PRESSURE INCREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 INFARCTION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 IMMUNE SYSTEM DISORDER,VISITED AN ER,18
 IMMUNE SYSTEM DISORDER, VISITED AN ER,18
 HYPOGLYCAEMIA,VISITED AN ER,18
 HYPOAESTHESIA,LIFE THREATENING,18
 HYPERTENSION,DISABILITY,18
 HYPERKALAEMIA, LIFE THREATENING,18
 HYPERHIDROSIS, DISABILITY,18
 HYPERGLYCAEMIA,HOSPITALIZATION,18
 HYPERAESTHESIA,VISITED A HEALTH CARE PROVIDER,18
 HEPATOCELLULAR DAMAGE, VISITED A HEALTH CARE PROVIDER,18
 HEPATITIS, LIFE THREATENING,18
 HEPATIC STEATOSIS, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,18
 HEART RATE ABNORMAL, NON-SERIOUS INJURIES/ ILLNESS,18
 HEAD DISCOMFORT,VISITED A HEALTH CARE PROVIDER,18
 HALLUCINATION, DISABILITY,18
 HAEMORRHOIDS, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,18
 HAEMORRHOIDAL HAEMORRHAGE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 HAEMATOMA,VISITED AN ER,18
 GENERAL PHYSICAL HEALTH DETERIORATION, HOSPITALIZATION,18
 GASTROINTESTINAL PAIN, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 GASTROINTESTINAL PAIN, VISITED AN ER,18
 GASTROINTESTINAL INFLAMMATION, VISITED AN ER,18
 GASTROENTERITIS VIBRIO, VISITED A HEALTH CARE PROVIDER,18
 GASTRIC HAEMORRHAGE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 FUNGAL INFECTION, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,18
 FREQUENT BOWEL MOVEMENTS,NON-SERIOUS INJURIES/ ILLNESS,18
 FREQUENT BOWEL MOVEMENTS,HOSPITALIZATION,18
 FOREIGN BODY,VISITED AN ER,18
 FOOD ALLERGY,HOSPITALIZATION,18
 FLATULENCE, SERIOUS INJURIES/ ILLNESS,18
 FLATULENCE,SERIOUS INJURIES/ ILLNESS,18
 FIBROCYSTIC BREAST DISEASE, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 FIBROCYSTIC BREAST DISEASE,VISITED A HEALTH CARE PROVIDER,18
 FEELING ABNORMAL, SERIOUS INJURIES/ ILLNESS,18
 FAECAL INCONTINENCE,VISITED AN ER,18
 FACE OEDEMA, VISITED A HEALTH CARE PROVIDER,18
 EYE PRURITUS,VISITED AN ER,18
 EPISTAXIS,VISITED AN ER,18
 ENDOSCOPY ABNORMAL, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 EMOTIONAL DISTRESS,NON-SERIOUS INJURIES/ ILLNESS,18
 EMOTIONAL DISTRESS, LIFE THREATENING,18
 EAR PAIN,DISABILITY,18
 EAR DISCOMFORT,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 DYSGEUSIA,SERIOUS INJURIES/ ILLNESS,18
 DYSGEUSIA,DISABILITY,18
 DRY SKIN,DISABILITY,18
 DIZZINESS,DEATH,18
 DISTURBANCE IN ATTENTION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 DISTURBANCE IN ATTENTION,NON-SERIOUS INJURIES/ ILLNESS,18
 DEHYDRATION, DISABILITY,18
 DEATH, VISITED A HEALTH CARE PROVIDER,18
 CRYING, NON-SERIOUS INJURIES/ ILLNESS,18
 CORONARY ARTERY DISEASE, HOSPITALIZATION,18
 CONVULSION,REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,18
 CONDITION AGGRAVATED,VISITED AN ER,18
 COLON INJURY, VISITED AN ER,18
 COLON CANCER, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 COLON CANCER,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 CHROMATURIA, DISABILITY,18
 CHROMATURIA,LIFE THREATENING,18
 CHOLELITHIASIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 CHOKING, VISITED A HEALTH CARE PROVIDER,18
 CHEST DISCOMFORT,SERIOUS INJURIES/ ILLNESS,18
 CHAPPED LIPS,NON-SERIOUS INJURIES/ ILLNESS,18
 CEREBROVASCULAR ACCIDENT,DISABILITY,18
 CAUSTIC INJURY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 CARDIAC DISORDER, VISITED AN ER,18
 CARDIAC ARREST, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 CARCINOID TUMOUR, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 BRONCHITIS,VISITED AN ER,18
 BRONCHITIS,HOSPITALIZATION,18
 BREAST PAIN, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 BREAST ENGORGEMENT, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 BREAST ENGORGEMENT,VISITED A HEALTH CARE PROVIDER,18
 BLOOD PRESSURE DECREASED,NON-SERIOUS INJURIES/ ILLNESS,18
 BLOOD POTASSIUM INCREASED, VISITED AN ER,18
 BLOOD LACTIC ACID INCREASED, VISITED AN ER,18
 BLOOD ELECTROLYTES DECREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 BLOOD CREATINE PHOSPHOKINASE INCREASED,LIFE THREATENING,18
 BLOOD BILIRUBIN INCREASED, DISABILITY,18
 BLOOD BILIRUBIN INCREASED,DISABILITY,18
 BLINDNESS,SERIOUS INJURIES/ ILLNESS,18
 AUTOIMMUNE HEPATITIS, HOSPITALIZATION,18
 ASTHMA,HOSPITALIZATION,18
 ASPARTATE AMINOTRANSFERASE INCREASED,SERIOUS INJURIES/ ILLNESS,18
 ARTHROPATHY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 APPETITE DISORDER, VISITED AN ER,18
 APPETITE DISORDER, LIFE THREATENING,18
 APPARENT DEATH,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 ANGINA PECTORIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 ANGER,NON-SERIOUS INJURIES/ ILLNESS,18
 AMNESIA,NON-SERIOUS INJURIES/ ILLNESS,18
 AMMONIA INCREASED, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 ALLERGY TO CHEMICALS, VISITED AN ER,18
 AGITATION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),18
 AGITATION,DISABILITY,18
 ADNEXA UTERI MASS, VISITED A HEALTH CARE PROVIDER,18
 ADNEXA UTERI MASS,HOSPITALIZATION,18
 ABDOMINAL PAIN LOWER, VISITED A HEALTH CARE PROVIDER,18
 ABDOMINAL PAIN LOWER, VISITED AN ER,18
VISION BLURRED, VISITED A HEALTH CARE PROVIDER,17
UROGENITAL DISORDER,NON-SERIOUS INJURIES/ ILLNESS,17
URINARY TRACT INFECTION, VISITED A HEALTH CARE PROVIDER,17
THROAT TIGHTNESS,VISITED AN ER,17
TACHYCARDIA,VISITED A HEALTH CARE PROVIDER,17
TACHYCARDIA, HOSPITALIZATION,17
RENAL CANCER,VISITED A HEALTH CARE PROVIDER,17
RENAL CANCER, HOSPITALIZATION,17
RECTAL HAEMORRHAGE, SERIOUS INJURIES/ ILLNESS,17
RASH PRURITIC,NON-SERIOUS INJURIES/ ILLNESS,17
PULMONARY EMBOLISM, VISITED A HEALTH CARE PROVIDER,17
PRURITUS,SERIOUS INJURIES/ ILLNESS,17
POLLAKIURIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
PHARYNGEAL INJURY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
PARAESTHESIA,HOSPITALIZATION,17
PAIN,SERIOUS INJURIES/ ILLNESS,17
NEPHROLITHIASIS, VISITED A HEALTH CARE PROVIDER,17
MYOCARDIAL INFARCTION, VISITED A HEALTH CARE PROVIDER,17
MUSCULOSKELETAL DISORDER,NON-SERIOUS INJURIES/ ILLNESS,17
MIGRAINE,VISITED AN ER,17
MIGRAINE,VISITED A HEALTH CARE PROVIDER,17
MEMORY IMPAIRMENT,VISITED A HEALTH CARE PROVIDER,17
LIP SWELLING,VISITED AN ER,17
LIP DRY,NON-SERIOUS INJURIES/ ILLNESS,17
INTERNATIONAL NORMALISED RATIO INCREASED,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
INJURY,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
HYSTERECTOMY, VISITED A HEALTH CARE PROVIDER,17
HYSTERECTOMY, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
HYPOKALAEMIA,HOSPITALIZATION,17
HYPOAESTHESIA,VISITED AN ER,17
HYPOAESTHESIA, HOSPITALIZATION,17
HYPERHIDROSIS, VISITED A HEALTH CARE PROVIDER,17
HEPATIC FAILURE, HOSPITALIZATION,17
HEPATIC ENZYME INCREASED,HOSPITALIZATION,17
HEART RATE IRREGULAR, HOSPITALIZATION,17
HALLUCINATION,HOSPITALIZATION,17
GASTROINTESTINAL HAEMORRHAGE,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
FOREIGN BODY TRAUMA, LIFE THREATENING,17
EXTRASYSTOLES,HOSPITALIZATION,17
EPISTAXIS,NON-SERIOUS INJURIES/ ILLNESS,17
EPISTAXIS, HOSPITALIZATION,17
DYSPNOEA, SERIOUS INJURIES/ ILLNESS,17
DYSGEUSIA, HOSPITALIZATION,17
DYSARTHRIA, VISITED A HEALTH CARE PROVIDER,17
DRUG-INDUCED LIVER INJURY, HOSPITALIZATION,17
DEPRESSED MOOD,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
DEHYDRATION,VISITED A HEALTH CARE PROVIDER,17
DEATH,HOSPITALIZATION,17
CYSTITIS,VISITED A HEALTH CARE PROVIDER,17
CHROMATURIA,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
CARDIAC FAILURE CONGESTIVE,VISITED AN ER,17
BRONCHITIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
BLOOD PRESSURE INCREASED,SERIOUS INJURIES/ ILLNESS,17
BLOOD PRESSURE INCREASED,DISABILITY,17
BLOOD ARSENIC INCREASED,VISITED A HEALTH CARE PROVIDER,17
BACTERIAL INFECTION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
ASTHENIA, LIFE THREATENING,17
APHONIA,LIFE THREATENING,17
ANXIETY, VISITED AN ER,17
ANGINA PECTORIS,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
ANAPHYLACTIC SHOCK,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
ANAPHYLACTIC SHOCK,HOSPITALIZATION,17
ADVERSE REACTION,OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
ABDOMINAL PAIN UPPER, DISABILITY,17
ABDOMINAL PAIN UPPER, LIFE THREATENING,17
ABDOMINAL DISTENSION,SERIOUS INJURIES/ ILLNESS,17
ABDOMINAL DISCOMFORT,VISITED AN ER,17
 WHITE BLOOD CELL COUNT INCREASED, LIFE THREATENING,17
 WHITE BLOOD CELL COUNT DECREASED, HOSPITALIZATION,17
 WEIGHT INCREASED,VISITED AN ER,17
 VITAMIN B12 INCREASED,VISITED A HEALTH CARE PROVIDER,17
 VISUAL ACUITY REDUCED, DISABILITY,17
 VIRAL INFECTION, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 URINARY HESITATION, HOSPITALIZATION,17
 UPPER AIRWAY OBSTRUCTION, LIFE THREATENING,17
 TRANSIENT ISCHAEMIC ATTACK, VISITED A HEALTH CARE PROVIDER,17
 TRANSIENT GLOBAL AMNESIA, VISITED AN ER,17
 TRANSIENT GLOBAL AMNESIA,HOSPITALIZATION,17
 TRANSAMINASES INCREASED,HOSPITALIZATION,17
 SYNCOPE,LIFE THREATENING,17
 SWOLLEN TONGUE, SERIOUS INJURIES/ ILLNESS,17
 SURGERY, REQ. INTERVENTION TO PRVNT PERM. IMPRMNT.,17
 SURGERY,HOSPITALIZATION,17
 SUPRAVENTRICULAR TACHYCARDIA, OTHER SERIOUS (IMPORTANT MEDICAL EVENTS),17
 SUICIDAL IDEATION,LIFE THREATENING,17
 SLEEP DISORDER, LIFE THREATENING,17
 SLEEP APNOEA SYNDROME, VISITED AN ER,17
 SKIN DISCOLOURATION,DISABILITY,17
